DEPARTAMENTO;SECAO;CATEGORIA;FORNECEDOR;COD;DESCRICAO;LOJA;QTD_Venda_NOV;QTD_Venda_OUT;QTD_Venda_SET;QTD_Venda_AGO;QTD_Venda_JUL;QTD_Venda_JUN;Comprador
LIMPEZA;CUIDADOS COM A ROUPA;AMACIANTE;194 - UNILEVER BRASIL LTDA;46874; AMAC CONC COMFORT 1,5L FIBER PROTECT;28 - AGUAS CLARAS;41;100;162;100;159;89;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;AMACIANTE;194 - UNILEVER BRASIL LTDA;54873; AMAC CONC COMFORT 3L CUIDADO ESSENC;28 - AGUAS CLARAS;41;29;0;0;0;0;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;BELEZA;CUIDADOS COM O CABELO;384 - UNILEVER BRASIL LTDA;48096; COND SEDA JUNTINHOS CACHOS 300ML;30 - LEM - BA;41;58;55;56;60;84;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;BELEZA;CUIDADOS COM O CABELO;384 - UNILEVER BRASIL LTDA;54453; SH/COND KIT DOVE CACHEADOS UN;28 - AGUAS CLARAS;41;51;38;5;0;0;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;BELEZA;CUIDADOS COM O CABELO;384 - UNILEVER BRASIL LTDA;54453; SH/COND KIT DOVE CACHEADOS UN;32 - CEILANDIA CENTRO;41;48;37;1;0;0;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;BANHO;384 - UNILEVER BRASIL LTDA;47156; SAB LIQ DOVE BABY HORA DORMIR REFIL180ML;28 - AGUAS CLARAS;41;32;7;37;19;15;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;BANHO;384 - UNILEVER BRASIL LTDA;54458; KIT SAB DOVE 8UN ANTIBAC PROTEGE CUIDA;28 - AGUAS CLARAS;41;31;36;0;0;0;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;BANHO;384 - UNILEVER BRASIL LTDA;54911; SAB LUX BRASIL 100G DAMA DA NOITE;29 - GUARA II;41;26;0;0;0;0;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;CUIDADOS COM A PELE;384 - UNILEVER BRASIL LTDA;51853; DESOD AERO DOVE MASC EUCALIPTO 200ML;32 - CEILANDIA CENTRO;41;29;38;36;31;30;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;CUIDADOS COM A PELE;384 - UNILEVER BRASIL LTDA;5668; DESOD ROLL ON REXONA FEM COTTON 50ML;32 - CEILANDIA CENTRO;41;33;23;30;8;16;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;HIGIENE BUCAL;384 - UNILEVER BRASIL LTDA;46454; CR DENT CLOSE UP 85G PODER ANTIBAC;32 - CEILANDIA CENTRO;41;39;33;36;80;106;NATHALIA VERAS RODRIGUES DE MEDEIROS
SECA SALGADA;TEMPEROS E CONDIMENTOS;MOLHOS PARA TEMPERO;5986 - UNILEVER BRASIL LTDA;5218; MOLHO HELLMANNS 3EM1 SQUEEZE 370G;30 - LEM - BA;41;36;37;85;94;74;ALESSANDRO MORAIS GONÇALVES
SECA SALGADA;TEMPEROS E CONDIMENTOS;REALCADOR;5986 - UNILEVER BRASIL LTDA;31357; CALDO ARISCO BACON 57G;28 - AGUAS CLARAS;41;80;5;50;61;37;ALESSANDRO MORAIS GONÇALVES
SECA SALGADA;TEMPEROS E CONDIMENTOS;TEMPERO PRONTO;5986 - UNILEVER BRASIL LTDA;5283; TEMP ARISCO ALHO E SAL 300G;29 - GUARA II;41;46;53;41;49;75;ALESSANDRO MORAIS GONÇALVES
SECA SALGADA;TEMPEROS E CONDIMENTOS;TEMPERO PRONTO;5986 - UNILEVER BRASIL LTDA;5285; TEMP COMPLETO ARISCO S/PIM 300G;29 - GUARA II;41;31;58;28;34;0;ALESSANDRO MORAIS GONÇALVES
FOOD SERVICE;MERCEARIA;TEMPEROS E CONDIMENTOS;195 - UNILEVER BRASIL LTDA;7237; TEMP ARISCO ALHO E SAL 1KG;27 - PLANALTINA;40;22;32;10;13;16;FOOD SERVICE
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;54448; LAVA ROUPAS PO SURF SCH 800G LIMAO/BICAR;27 - PLANALTINA;40;84;38;1;0;0;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;54986; LAVA ROUPAS PO OMO SCH 8KG PROF;28 - AGUAS CLARAS;40;19;0;0;0;0;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;BELEZA;CUIDADOS COM O CABELO;384 - UNILEVER BRASIL LTDA;51753; SH SEDA PTO LUMINOSOS 425ML;29 - GUARA II;40;39;28;50;57;21;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;BELEZA;CUIDADOS COM O CABELO;384 - UNILEVER BRASIL LTDA;51770; COND SEDA BABOSA/OLEOS 425ML;28 - AGUAS CLARAS;40;63;54;61;63;80;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;BELEZA;CUIDADOS COM O CABELO;384 - UNILEVER BRASIL LTDA;54439; CR PENTEAR SEDA 700ML CERAMIDAS;27 - PLANALTINA;40;51;18;0;0;0;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;CUIDADOS COM A PELE;384 - UNILEVER BRASIL LTDA;49617; DESOD AERO REXONA CLINICAL S PERF 150ML;30 - LEM - BA;40;51;36;26;33;0;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;CUIDADOS COM A PELE;384 - UNILEVER BRASIL LTDA;51850; DESOD AERO DOVE MASC INVISIBLE DRY 200ML;32 - CEILANDIA CENTRO;40;54;86;23;30;52;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;CUIDADOS COM A PELE;384 - UNILEVER BRASIL LTDA;5705; DESOD ROLL ON DOVE MASC INVISIB DRY 50ML;30 - LEM - BA;40;22;25;4;2;8;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;HIGIENE BUCAL;384 - UNILEVER BRASIL LTDA;49717; CR DENT CLOSE UP 130G DENTES BCO;32 - CEILANDIA CENTRO;40;43;75;192;216;92;NATHALIA VERAS RODRIGUES DE MEDEIROS
SECA SALGADA;COMPLEMENTOS;MAIONESE;5986 - UNILEVER BRASIL LTDA;47796; MAIONESE HELLMANNS 335G VERDE;32 - CEILANDIA CENTRO;40;0;0;0;24;142;ALESSANDRO MORAIS GONÇALVES
SECA SALGADA;TEMPEROS E CONDIMENTOS;REALCADOR;5986 - UNILEVER BRASIL LTDA;42357; CALDO ZERO KNORR GALINHA 48G;28 - AGUAS CLARAS;40;31;63;54;37;63;ALESSANDRO MORAIS GONÇALVES
FOOD SERVICE;MERCEARIA;TEMPEROS E CONDIMENTOS;195 - UNILEVER BRASIL LTDA;7236; TEMP COMPLETO ARISCO S/PIM 1KG;30 - LEM - BA;39;16;107;49;17;55;FOOD SERVICE
LIMPEZA;CUIDADOS COM A ROUPA;AMACIANTE;194 - UNILEVER BRASIL LTDA;44229; AMAC CONC COMFORT 1,8L EXPLOSAO AZUL;27 - PLANALTINA;39;39;0;6;53;31;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;38176; LAVA ROUPAS PO OMO SCH 5 6KG PRO ATIVO;27 - PLANALTINA;39;86;52;32;34;65;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;5383; LAVA ROUPAS LIQ OMO 3L LAVAG PERFT;27 - PLANALTINA;39;21;0;9;15;16;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;54870; LAVA ROUPAS LIQ OMO 7L PERFECT WHITE;28 - AGUAS CLARAS;39;26;0;0;0;0;NATHALIA VERAS RODRIGUES DE MEDEIROS
MERCEARIA;SECA DOCE;NUTRICAO INFANTIL;5986 - UNILEVER BRASIL LTDA;5158; AMIDO DE MILHO MAIZENA 200G;29 - GUARA II;39;116;56;98;123;172;ALESSANDRO MORAIS GONÇALVES
PERFUMARIA;BELEZA;CUIDADOS COM O CABELO;384 - UNILEVER BRASIL LTDA;48590; COND SEDA JUNTINHOS TODOS TIPOS 300ML;30 - LEM - BA;39;50;46;68;20;66;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;BELEZA;CUIDADOS COM O CABELO;384 - UNILEVER BRASIL LTDA;48590; COND SEDA JUNTINHOS TODOS TIPOS 300ML;32 - CEILANDIA CENTRO;39;26;33;42;38;35;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;BELEZA;CUIDADOS COM O CABELO;384 - UNILEVER BRASIL LTDA;51751; SH SEDA BABOSA/OLEOS 425ML;32 - CEILANDIA CENTRO;39;37;49;64;121;80;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;BELEZA;CUIDADOS COM O CABELO;384 - UNILEVER BRASIL LTDA;51765; SH SEDA CHA VERDE/CITRICOS 425ML;29 - GUARA II;39;67;78;73;98;59;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;49279; LAVA ROUPAS PO SURF SCH 800G COCO;29 - GUARA II;38;82;105;57;16;0;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;BELEZA;CUIDADOS COM O CABELO;384 - UNILEVER BRASIL LTDA;51751; SH SEDA BABOSA/OLEOS 425ML;29 - GUARA II;38;18;41;31;50;37;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;BELEZA;CUIDADOS COM O CABELO;384 - UNILEVER BRASIL LTDA;51760; COND SEDA BOMBA DE COCO 425ML;27 - PLANALTINA;38;41;56;48;59;26;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;BELEZA;CUIDADOS COM O CABELO;384 - UNILEVER BRASIL LTDA;51766; SH SEDA BOOM PRO CURVATURA 425ML;32 - CEILANDIA CENTRO;38;46;78;94;123;107;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;BANHO;384 - UNILEVER BRASIL LTDA;54457; KIT SAB DOVE 8UN ORIG;30 - LEM - BA;38;45;23;0;0;0;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;BANHO;384 - UNILEVER BRASIL LTDA;54457; KIT SAB DOVE 8UN ORIG;32 - CEILANDIA CENTRO;38;31;22;0;0;0;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;BANHO;384 - UNILEVER BRASIL LTDA;54509; SAB LIQ LUX BRASIL REFIL 500ML CEREJEIRA;32 - CEILANDIA CENTRO;38;36;21;0;0;0;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;BANHO;384 - UNILEVER BRASIL LTDA;54910; SAB LUX BRASIL 100G BROLMELIA;32 - CEILANDIA CENTRO;38;24;0;0;0;0;NATHALIA VERAS RODRIGUES DE MEDEIROS
SECA SALGADA;COMPLEMENTOS;MAIONESE;5986 - UNILEVER BRASIL LTDA;51994; MAIONESE LIGHT HELLMANNS SQUEEZE 335G;32 - CEILANDIA CENTRO;38;35;32;37;15;22;ALESSANDRO MORAIS GONÇALVES
FOOD SERVICE;MERCEARIA;TEMPEROS E CONDIMENTOS;195 - UNILEVER BRASIL LTDA;7236; TEMP COMPLETO ARISCO S/PIM 1KG;32 - CEILANDIA CENTRO;37;34;47;23;1;40;FOOD SERVICE
LIMPEZA;CUIDADOS COM A ROUPA;AMACIANTE;194 - UNILEVER BRASIL LTDA;31422; AMAC CONC COMFORT 900ML CUIDADO ESSENC;29 - GUARA II;37;58;75;41;43;36;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM A ROUPA;SABAO PARA ROUPAS;194 - UNILEVER BRASIL LTDA;54448; LAVA ROUPAS PO SURF SCH 800G LIMAO/BICAR;28 - AGUAS CLARAS;37;81;52;1;0;0;NATHALIA VERAS RODRIGUES DE MEDEIROS
LIMPEZA;CUIDADOS COM O BANHEIRO;TIRA LIMO;194 - UNILEVER BRASIL LTDA;31413; TIRA LIMO CIF GAT 500ML;30 - LEM - BA;37;28;12;13;11;10;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;BELEZA;CUIDADOS COM O CABELO;384 - UNILEVER BRASIL LTDA;51759; COND SEDA CERAMIDAS 425ML;29 - GUARA II;37;42;33;46;55;25;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;BELEZA;CUIDADOS COM O CABELO;384 - UNILEVER BRASIL LTDA;51766; SH SEDA BOOM PRO CURVATURA 425ML;30 - LEM - BA;37;34;61;60;73;51;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;BANHO;384 - UNILEVER BRASIL LTDA;39411; SAB LIQ LUX ROSAS FRANCESAS REFIL 200ML;27 - PLANALTINA;37;121;143;139;113;96;NATHALIA VERAS RODRIGUES DE MEDEIROS
PERFUMARIA;HIGIENE;BANHO;384 - UNILEVER BRASIL LTDA;39417; SAB LIQ DOVE BABY HIDRATACAO REFIL 180ML;27 - PLANALTINA;37;11;13;10;2;2;NATHALIA VERAS RODRIGUES DE MEDEIROS
SECA SALGADA;COMPLEMENTOS;MAIONESE;5986 - UNILEVER BRASIL LTDA;12493; MAIONESE HELLMANNS LIGHT 500G;29 - GUARA II;37;13;53;9;49;17;ALESSANDRO MORAIS GONÇALVES
SECA SALGADA;COMPLEMENTOS;MAIONESE;5986 - UNILEVER BRASIL LTDA;47797; MAIONESE HELLMANNS 335G CHIPOTLE;29 - GUARA II;37;24;36;5;31;43;ALESSANDRO MORAIS GONÇALVES
FOOD SERVICE;MERCEARIA;TEMPEROS E CONDIMENTOS;195 - UNILEVER BRASIL LTDA;33238; MAIONESE HELLMANNS 2 ,8KG;30 - LEM - BA;36;42;3;9;0;0;FOOD SERVICE
